,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,thor: love and thunder,7,4,12,26
1,1,shamshera,7,4,6,14
2,2,everything everywhere all at once,7,4,12,26
3,3,jurassic world dominion,7,4,17,7
4,4,shazam! fury of the gods,7,4,12,26
5,5,bullet train,7,2,13,0
6,6,dc league of super-pets,3,12,1,34
7,7,dungeons & dragons: honor among thieves,7,4,3,2
8,8,doctor strange in the multiverse of madness,7,4,3,2
9,9,john wick: chapter 4,7,15,13,50
10,10,prey,7,1,15,28
11,11,ant-man and the wasp: quantumania,7,4,12,26
12,12,black adam,7,10,17,11
13,13,the batman,7,15,6,6
14,14,the northman,7,4,6,14
15,15,spider-man: no way home,7,4,3,2
16,16,guardians of the galaxy vol. 3,7,4,12,26
17,17,samaritan,7,1,3,35
18,18,the lost city,7,4,12,26
19,19,black panther,7,4,17,7
20,20,lightyear,3,12,1,34
21,21,the man from toronto,7,4,12,26
22,22,paws of fury: the legend of hank,3,12,12,56
23,23,no time to die,7,4,13,47
24,24,the unbearable weight of massive talent,7,2,10,15
25,25,avengers: endgame,7,4,6,14
26,26,spiderhead,7,15,6,6
27,27,fantastic beasts: the secrets of dumbledore,7,4,3,2
28,28,blade runner 2049,7,1,0,10
29,29,the princess,7,1,3,35
30,30,dune: part one,7,4,6,14
31,31,jurassic park,7,4,17,7
32,32,john wick,7,15,13,50
33,33,eternals,7,4,3,2
34,34,thor: ragnarok,7,4,12,26
35,35,heat,7,15,6,6
36,36,deadpool,7,4,12,26
37,37,the dark knight,7,15,6,6
38,38,morbius,7,4,15,32
39,39,thirteen lives,7,4,7,14
40,40,the lord of the rings: the fellowship of the ring,7,4,6,14
41,41,inception,7,4,17,7
42,42,shazam!,7,4,12,26
43,43,avatar: the way of water,7,4,17,7
44,44,resident evil: welcome to raccoon city,7,11,17,11
45,45,free guy,7,4,12,26
46,46,ambulance,7,15,6,6
47,47,terminator: dark fate,7,4,17,7
48,48,expend4bles,7,4,13,47
49,49,deadpool 2,7,4,12,26
50,50,tenet,7,14,13,13
51,51,fantastic four,7,4,17,7
52,52,the gentlemen,7,2,10,15
53,53,avengers: infinity war,7,4,17,7
54,54,shang-chi and the legend of the ten rings,7,4,3,2
55,55,the king's man,7,4,13,47
56,56,nobody,7,15,6,6
57,57,blade,7,4,3,2
58,58,sonic the hedgehog 2,7,4,12,26
59,59,thor,7,4,3,2
60,60,guardians of the galaxy,7,4,12,26
61,61,gladiator,7,4,6,14
62,62,wrath of man,7,15,13,50
63,63,john wick: chapter 3 - parabellum,7,15,13,50
64,64,the adam project,7,4,12,26
65,65,logan,7,1,17,40
66,66,the hunger games,7,4,17,7
67,67,star wars,7,4,3,2
68,68,the marvels,7,4,3,2
69,69,pirates of the caribbean: the curse of the black pearl,7,4,3,2
70,70,the suicide squad,7,4,12,26
71,71,ek villain returns,7,5,13,47
72,72,12 strong,7,1,9,38
73,73,mad max: fury road,7,4,17,7
74,74,jurassic world: fallen kingdom,7,4,17,7
75,75,jurassic world,7,4,17,7
76,76,kingsman: the secret service,7,4,12,26
77,77,chips,7,2,10,15
78,78,day shift,7,2,3,35
79,79,avatar,7,4,3,2
80,80,the lord of the rings: the return of the king,7,4,6,14
81,81,john wick: chapter 2,7,15,13,50
82,82,mission: impossible - fallout,7,4,13,47
83,83,memory,7,15,13,50
84,84,moonfall,7,4,17,7
85,85,black widow,7,4,17,7
86,86,léon,7,15,6,6
87,87,interceptor,7,4,6,14
88,88,ford v ferrari,7,7,6,39
89,89,trading paint,7,1,4,35
90,90,resident evil,7,11,17,11
91,91,red notice,7,2,13,0
92,92,zack snyder's justice league,7,4,3,2
93,93,mission: impossible,7,4,13,47
94,94,enola holmes,7,4,10,51
95,95,suicide squad,7,4,3,2
96,96,spider-man: homecoming,7,4,17,7
97,97,blade runner,7,1,17,40
98,98,the avengers,7,4,17,7
99,99,doragon boru supa supa hiro,3,12,1,34
100,100,aquaman and the lost kingdom,7,4,3,2
101,101,f9,7,15,13,50
102,102,the moderator,7,1,13,16
103,103,spider-man,7,4,17,7
104,104,captain marvel,7,4,17,7
105,105,the last duel,7,1,9,38
106,106,captain america: the first avenger,7,4,17,7
107,107,iron man,7,4,17,7
108,108,captain america: new world order,7,4,17,7
109,109,baywatch,7,2,10,15
110,110,star wars: episode ix - the rise of skywalker,7,4,3,2
111,111,batgirl,7,4,10,51
112,112,ghostbusters,7,2,3,35
113,113,guardians of the galaxy vol. 2,7,4,12,26
114,114,independence day,7,4,17,7
115,115,doctor strange,7,4,3,2
116,116,thor: the dark world,7,4,3,2
117,117,predator,7,4,15,32
118,118,mission: impossible - dead reckoning - part one,7,4,13,47
119,119,hit the first case,7,15,6,6
120,120,american made,7,2,10,15
121,121,el camino: a breaking bad movie,7,15,6,6
122,122,con air,7,15,13,50
123,123,dunkirk,7,1,9,38
124,124,aquaman,7,4,3,2
125,125,hellboy,7,4,3,2
126,126,baby driver,7,15,6,6
127,127,armageddon,7,4,17,7
128,128,the lord of the rings: the two towers,7,4,6,14
129,129,1917,7,1,8,38
130,130,the harder they fall,7,1,18,40
131,132,star wars: episode i - the phantom menace,7,4,3,2
132,133,sicario,7,15,6,6
133,134,oldeuboi,7,1,0,10
134,135,star trek,7,4,17,7
135,136,spider-man: into the spider-verse,3,12,1,34
136,137,the flash,7,4,3,2
137,138,the mortal instruments: city of bones,7,4,3,2
138,139,avengers: age of ultron,7,4,17,7
139,140,operation fortune: ruse de guerre,7,2,13,0
140,142,venom: let there be carnage,7,4,17,7
141,143,captain america: civil war,7,4,17,7
142,144,aliens,7,4,17,7
143,145,medieval,7,1,9,38
144,146,watchmen,7,1,0,10
145,147,ant-man,7,4,12,26
146,148,batman begins,7,15,6,6
147,149,the fifth element,7,4,17,7
148,150,the mummy,7,4,3,2
149,151,spree,7,2,10,15
150,152,pirates of the caribbean: dead men tell no tales,7,4,3,2
151,153,manyeo 2: lo go,7,3,13,0
152,154,the woman king,7,1,9,38
153,155,mission: impossible iii,7,4,13,47
154,156,mission: impossible - rogue nation,7,4,13,47
155,157,kingsman: the golden circle,7,4,12,26
156,158,starship troopers,7,4,17,7
157,159,spider-man: far from home,7,4,17,7
158,160,dune: part two,7,4,6,14
159,161,thunderbolts,7,4,17,7
160,162,mission: impossible ii,7,4,13,47
161,163,the incredible hulk,7,4,17,7
162,164,ghosted,7,4,2,2
163,165,fast x,7,15,0,43
164,166,ant-man and the wasp,7,4,12,26
165,167,apocalypto,7,4,6,14
166,168,the nice guys,7,2,10,15
167,169,the tomorrow war,7,4,6,14
168,170,transformers: rise of the beasts,7,4,17,7
169,171,robocop,7,15,17,36
170,172,divergent,7,4,0,61
171,173,transformers,7,4,17,7
172,174,the amazing spider-man,7,4,17,7
173,175,dungeons & dragons,7,4,3,2
174,176,birds of prey and the fantabulous emancipation of one harley quinn,7,4,12,26
175,177,x-men,7,4,17,7
176,178,the living daylights,7,4,13,47
